,weekday,hour,minute,Average
443,4,1,50,13.389166666666664
444,4,2,0,12.533833333333332
445,4,2,10,11.472000792287918
446,4,2,20,11.837
447,4,2,30,12.665333333333333
448,4,2,40,12.535166666666665
449,4,2,50,12.262978930906709
450,4,3,0,11.649851644749635
451,4,3,10,9.90398415630805
452,4,3,20,9.377164533848703
453,4,3,30,8.869522853591072
454,4,3,40,7.79533144492824
455,4,3,50,10.321832300548241
456,4,4,0,9.680331958803194
457,4,4,10,9.504664103737824
458,4,4,20,8.747499283795
459,4,4,30,9.04316694489139
460,4,4,40,8.374166666666667
461,4,4,50,8.232666666666667
462,4,5,0,7.401499999999999
463,4,5,10,8.376666666666667
464,4,5,20,8.492336300509352
465,4,5,30,8.64083795329801
466,4,5,40,9.930500826623472
467,4,5,50,9.208334056026574
468,4,6,0,8.684998814753103
469,4,6,10,8.570661181528191
470,4,6,20,8.54466473754347
471,4,6,30,10.910804546004345
472,4,6,40,9.481667821016341
473,4,6,50,9.486332492700324
474,4,7,0,9.049511237447456
475,4,7,10,8.169336412018149
476,4,7,20,8.418501181050695
477,4,7,30,8.10233216711176
478,4,7,40,8.915333333333333
479,4,7,50,9.073333333333332
480,4,8,0,10.646166666666666
481,4,8,10,10.144666666666666
482,4,8,20,8.9205
483,4,8,30,8.954999999999998
484,4,8,40,8.772
485,4,8,50,9.389666666666667
486,4,9,0,8.766833333333334
487,4,9,10,12.346
488,4,9,20,8.970833333333335
489,4,9,30,7.856999999999999
490,4,9,40,7.182666281330972
491,4,9,50,7.695167736548379
492,4,10,0,7.501998708708287
493,4,10,10,7.7405012504075925
494,4,10,20,6.993333333333334
495,4,10,30,5.783168130879954
496,4,10,40,5.219666922536666
497,4,10,50,5.079836089186204
498,4,11,0,5.1048365144607875
499,4,11,10,5.321156777942589
500,4,11,20,7.457029492519314
501,4,11,30,5.320324702921618
502,4,11,40,5.374674819580326
503,4,11,50,4.841333333333333
504,4,12,0,4.47649278623134
505,4,12,10,4.450670395002594
506,4,12,20,4.634321177357122
507,4,12,30,5.0431752973660675
508,4,12,40,4.6965
509,4,12,50,5.3571554529652
510,4,13,0,4.345827153163192
511,4,13,10,4.636664625240972
512,4,13,20,3.9829986754632865
513,4,13,30,4.067174692241159
514,4,13,40,4.3846679863087505
515,4,13,50,4.662160403278656
516,4,14,0,3.832665658525323
517,4,14,10,3.536833333333333
518,4,14,20,3.6420000000000003
519,4,14,30,3.6298351529622694
520,4,14,40,3.478333333333333
521,4,14,50,3.9253334502292594
522,4,15,0,3.8785
523,4,15,10,4.261
524,4,15,20,3.783495703065138
525,4,15,30,3.599673369951252
526,4,15,40,3.8466665918980083
527,4,15,50,4.2511620698081005
528,4,16,0,4.142008706124261
529,4,16,10,3.3529968837053703
530,4,16,20,3.5095003473928243
531,4,16,30,3.339665839103796
532,4,16,40,3.3795
533,4,16,50,3.581666666666666
534,4,17,0,3.4929994085193052
535,4,17,10,4.26299440313097
536,4,17,20,3.0881733808035667
537,4,17,30,3.3659986809402307
538,4,17,40,2.9981646059558327
539,4,17,50,3.1675061445468535
540,4,18,0,3.640164514281713
541,4,18,10,3.7395050748484144
542,4,18,20,3.0641655362767124
543,4,18,30,3.2735
544,4,18,40,3.2403333333333335
545,4,18,50,3.2276666666666665
546,4,19,0,3.2983315918521754
547,4,19,10,3.5105000000000004
548,4,19,20,3.501833333333333
549,4,19,30,3.940833333333333
550,4,19,40,3.1208333333333336
551,4,19,50,2.9741666666666666
552,4,20,0,2.995166666666667
553,4,20,10,3.0766649668324995
554,4,20,20,3.3408333333333333
555,4,20,30,3.3028333333333335
556,4,20,40,3.9343333333333335
557,4,20,50,3.6098333333333334
558,4,21,0,3.5306652475865272
